product_id,name,price,stock,description,brand,category_id,sku,status,spec_json,image1,image2,image3
,トマト,198,40,"新鮮な赤いトマトです。サラダや煮込み料理に最適。",国産野菜,1,SKU001,1,"{""産地"":""熊本県"",""内容量"":""3個""}",tomato1.png,tomato2.png
,じゃがいも,150,60,"ホクホク食感のじゃがいも。煮物・揚げ物に最適。",国産野菜,1,SKU002,1,"{""産地"":""北海道"",""内容量"":""3個""}",potato1.png,potato2.png
,キャベツ,198,50,"葉がしっかり詰まった新鮮キャベツ。万能野菜。",国産野菜,1,SKU003,1,"{""産地"":""千葉県"",""内容量"":""1玉""}",cabbage1.png,cabbage2.png,cabbage3.png
,にんじん,180,45,"甘みの強いにんじん。煮物・炒め物に。",国産野菜,1,SKU004,1,"{""産地"":""茨城県"",""内容量"":""3本""}",carot1.png,carot2.png
,牛肉,980,20,"国産牛の肩ロース。焼肉・炒め物に最適。",国産肉,2,SKU005,1,"{""産地"":""国産"",""内容量"":""300g""}",beef1.png,beef2.png
,鶏肉,500,25,"国産鶏もも肉。ジューシーで使いやすい。",国産肉,2,SKU006,1,"{""産地"":""国産"",""内容量"":""300g""}",chicken1.png,chicken2.png
,コカ・コーラ,150,80,"爽快な炭酸飲料の定番。500mlペットボトル。",コカ・コーラ,3,SKU007,1,"{""内容量"":""500ml""}",cola1.png,cola2.png
,緑茶,140,90,"国産茶葉使用の緑茶。すっきりした味わい。",日本茶,3,SKU008,1,"{""内容量"":""500ml""}",greentea1.png,greentea2.png
,ポテトチップス,130,100,"サクサク食感の定番スナック。うすしお味。",スナック菓子,4,SKU009,1,"{""内容量"":""60g""}",chips1.png,chips2.png
,チョコレート,200,85,"カカオの香り豊かなミルクチョコレート。",菓子,4,SKU010,1,"{""内容量"":""50g""}",choco1.png,choco2.png
